       208 MEMB     2        POPG     H15S     HAL2     0.900000E-01   1.00800           0
       209 MEMB     2        POPG     C216     CTL2    -0.180000       12.0110           0
       210 MEMB     2        POPG     H16R     HAL2     0.900000E-01   1.00800           0
       211 MEMB     2        POPG     H16S     HAL2     0.900000E-01   1.00800           0
       212 MEMB     2        POPG     C217     CTL2    -0.180000       12.0110           0
       213 MEMB     2        POPG     H17R     HAL2     0.900000E-01   1.00800           0
       214 MEMB     2        POPG     H17S     HAL2     0.900000E-01   1.00800           0
       215 MEMB     2        POPG     C218     CTL3    -0.270000       12.0110           0
       216 MEMB     2        POPG     H18R     HAL3     0.900000E-01   1.00800           0
       217 MEMB     2        POPG     H18S     HAL3     0.900000E-01   1.00800           0
       218 MEMB     2        POPG     H18T     HAL3     0.900000E-01   1.00800           0
       219 MEMB     2        POPG     C33      CTL2    -0.180000       12.0110           0
       220 MEMB     2        POPG     H3X      HAL2     0.900000E-01   1.00800           0
       221 MEMB     2        POPG     H3Y      HAL2     0.900000E-01   1.00800           0
       222 MEMB     2        POPG     C34      CTL2    -0.180000       12.0110           0
       223 MEMB     2        POPG     H4X      HAL2     0.900000E-01   1.00800           0
       224 MEMB     2        POPG     H4Y      HAL2     0.900000E-01   1.00800           0
       225 MEMB     2        POPG     C35      CTL2    -0.180000       12.0110           0
       226 MEMB     2        POPG     H5X      HAL2     0.900000E-01   1.00800           0
       227 MEMB     2        POPG     H5Y      HAL2     0.900000E-01   1.00800           0
       228 MEMB     2        POPG     C36      CTL2    -0.180000       12.0110           0
       229 MEMB     2        POPG     H6X      HAL2     0.900000E-01   1.00800           0
       230 MEMB     2        POPG     H6Y      HAL2     0.900000E-01   1.00800           0
       231 MEMB     2        POPG     C37      CTL2    -0.180000       12.0110           0
       232 MEMB     2        POPG     H7X      HAL2     0.900000E-01   1.00800           0
       233 MEMB     2        POPG     H7Y      HAL2     0.900000E-01   1.00800           0
       234 MEMB     2        POPG     C38      CTL2    -0.180000       12.0110           0
       235 MEMB     2        POPG     H8X      HAL2     0.900000E-01   1.00800           0
       236 MEMB     2        POPG     H8Y      HAL2     0.900000E-01   1.00800           0
       237 MEMB     2        POPG     C39      CTL2    -0.180000       12.0110           0
       238 MEMB     2        POPG     H9X      HAL2     0.900000E-01   1.00800           0
       239 MEMB     2        POPG     H9Y      HAL2     0.900000E-01   1.00800           0
       240 MEMB     2        POPG     C310     CTL2    -0.180000       12.0110           0
       241 MEMB     2        POPG     H10X     HAL2     0.900000E-01   1.00800           0
       242 MEMB     2        POPG     H10Y     HAL2     0.900000E-01   1.00800           0
       243 MEMB     2        POPG     C311     CTL2    -0.180000       12.0110           0
       244 MEMB     2        POPG     H11X     HAL2     0.900000E-01   1.00800           0
       245 MEMB     2        POPG     H11Y     HAL2     0.900000E-01   1.00800           0
       246 MEMB     2        POPG     C312     CTL2    -0.180000       12.0110           0
       247 MEMB     2        POPG     H12X     HAL2     0.900000E-01   1.00800           0
       248 MEMB     2        POPG     H12Y     HAL2     0.900000E-01   1.00800           0
       249 MEMB     2        POPG     C313     CTL2    -0.180000       12.0110           0
       250 MEMB     2        POPG     H13X     HAL2     0.900000E-01   1.00800           0
       251 MEMB     2        POPG     H13Y     HAL2     0.900000E-01   1.00800           0
       252 MEMB     2        POPG     C314     CTL2    -0.180000       12.0110           0
       253 MEMB     2        POPG     H14X     HAL2     0.900000E-01   1.00800           0
       254 MEMB     2        POPG     H14Y     HAL2     0.900000E-01   1.00800           0
       255 MEMB     2        POPG     C315     CTL2    -0.180000       12.0110           0
       256 MEMB     2        POPG     H15X     HAL2     0.900000E-01   1.00800           0
       257 MEMB     2        POPG     H15Y     HAL2     0.900000E-01   1.00800           0
       258 MEMB     2        POPG     C316     CTL3    -0.270000       12.0110           0
       259 MEMB     2        POPG     H16X     HAL3     0.900000E-01   1.00800           0
       260 MEMB     2        POPG     H16Y     HAL3     0.900000E-01   1.00800           0
       261 MEMB     2        POPG     H16Z     HAL3     0.900000E-01   1.00800           0
       262 MEMB     3        POPC     N        NTL     -0.600000       14.0070           0
       263 MEMB     3        POPC     C12      CTL2    -0.100000       12.0110           0
       264 MEMB     3        POPC     H12A     HL       0.250000       1.00800           0
       265 MEMB     3        POPC     H12B     HL       0.250000       1.00800           0
       266 MEMB     3        POPC     C13      CTL5    -0.350000       12.0110           0
       267 MEMB     3        POPC     H13A     HL       0.250000       1.00800           0
       268 MEMB     3        POPC     H13B     HL       0.250000       1.00800           0
       269 MEMB     3        POPC     H13C     HL       0.250000       1.00800           0
       270 MEMB     3        POPC     C14      CTL5    -0.350000       12.0110           0
       271 MEMB     3        POPC     H14A     HL       0.250000       1.00800           0
       272 MEMB     3        POPC     H14B     HL       0.250000       1.00800           0
       273 MEMB     3        POPC     H14C     HL       0.250000       1.00800           0
       274 MEMB     3        POPC     C15      CTL5    -0.350000       12.0110           0
       275 MEMB     3        POPC     H15A     HL       0.250000       1.00800           0
