,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG
,,,,,,
,f,errors,f,errors,f,errors
0.4,33.71920949522618,0.18179507069326517,23.54210703190634,0.17083869775741595,33.84902558084392,0.18302152168044003
0.408333,33.23674247947499,0.18233108548894084,22.86406703839803,0.17204998553677908,33.59196570470399,0.18362326204315066
0.416667,32.58903066279673,0.18339402732258292,22.068576608074142,0.1727257827620215,33.25212496313868,0.1847399813688046
0.425,32.19918671807197,0.1909008641420531,21.373034454996155,0.17324791263236394,32.846809207683194,0.18504624884690313
0.433333,31.713342457652537,0.19166155939607774,20.70543348363757,0.1737434304915035,32.53073505687303,0.18528058611798318
0.441667,31.147223413416892,0.19195163601121595,20.156697438538473,0.17455329333241748,32.410282994606014,0.18585030828719498
0.45,30.396030191281152,0.19225993288743354,19.424626413464654,0.17513999316271983,32.121654742937515,0.18629946796689018
0.458333,29.73791883709155,0.19311851260869978,18.75328058201754,0.17581762729069517,31.76665564082347,0.1869412016567532
0.466667,29.067020534045422,0.1943398910524795,18.020337651040848,0.17615069068751749,31.266698322303466,0.1882327951867651
0.475,28.560227149306805,0.19595947054138882,17.34441159815706,0.1763391843948013,30.922770599844508,0.18863054256747788
0.483333,28.067262625573242,0.19625455458689808,16.67884834930979,0.1765583495155099,30.599470513842416,0.18891606005644165
0.491667,27.508394934057907,0.19651366346367474,15.939993960904093,0.17676807586899349,30.21432513404112,0.18955487754167272
0.5,26.989737885657096,0.19704289641649905,15.348489228883453,0.17704529847955708,29.861357470893765,0.19247784196064213
0.508333,27.677969832904783,0.19721630170386695,15.337141255630032,0.17769697647266822,30.32880480431955,0.19364372035053648
0.516667,28.467249270197065,0.1973904699229099,15.414749082321503,0.1785159471511277,30.864415894576087,0.19389022891721772
0.525,29.224456063056152,0.19787697228345524,15.55759579591317,0.17883672329160777,31.317687163761207,0.19412818581437494
0.533333,30.036817872121794,0.1983064593576061,15.72225419959085,0.1792350148090861,31.786759335552595,0.19456236252787085
0.541667,30.786728301863153,0.19847803309721337,16.14070271970265,0.17969348964627851,32.273857246538626,0.19505888130165502
0.55,31.414306205061262,0.1986935547131165,16.49836006249069,0.18030924519827463,32.557752434337445,0.1954363933165678
0.558333,32.41595022529625,0.20058042498741502,16.99929908389645,0.1826979078978705,32.86016387612056,0.1959162658851335
0.566667,33.38509421438123,0.20213250681800138,17.327439785732977,0.18340972052281515,32.9512960271851,0.19793203771455967
0.575,34.16982644125658,0.20503174890958803,17.6826047230993,0.1837777070570434,33.34353588944788,0.19832053775220687
0.583333,34.83215374801066,0.2057608310635123,18.024913686245203,0.1842487073844545,33.7218342190272,0.1985864016155913
0.591667,35.50232015709704,0.20598822143656684,18.390328995323458,0.18526084881851965,34.061992861752515,0.1988449705403648
0.6,36.024543642283916,0.20621662175034383,18.722128392903272,0.18716743570837202,34.24120495780975,0.19901043536569205
0.608333,36.570549353606225,0.20644081865725297,19.025706867722864,0.1881074219878857,34.470558531692994,0.19922862608892225
0.616667,37.13250830887158,0.20671520784149836,19.357861327496238,0.18843531486923662,34.794421762930114,0.19977529714041048
0.625,37.60515580419232,0.2068383561409619,19.597087348516006,0.1887676672864849,35.005165674518516,0.20035060262622176
0.633333,38.055743356794885,0.20698776981444778,19.70414861944197,0.18931052549441063,35.003391148477675,0.20182018800627338
0.641667,38.64149665415413,0.20797388552282195,19.919169618677838,0.19035051178879797,34.92531291133484,0.20210716256014788
0.65,39.02866248122107,0.20844904714191098,20.008749627529433,0.19122964860563876,34.64321207476435,0.2024197695362063
0.658333,39.49352841797923,0.20882567010454528,20.228626266882284,0.1920069402986371,34.57936863029479,0.20416578837592234
0.666667,40.0592148680268,0.2110015537705909,20.333760799275552,0.19358885358372513,34.54437506359294,0.2047149090738933
0.675,40.490913862835725,0.2116496084179847,20.278151269079814,0.1942162012754143,34.39075932664844,0.2049254681061934
0.683333,40.780208745396024,0.21218702940194836,20.188767819468794,0.19492541630000063,34.21747833005804,0.20526294714941024
0.691667,40.84755128533043,0.21278130590759692,19.858684745512814,0.19589435682314024,33.8265525950432,0.20546844597371136
0.7,41.03711807902048,0.2130979010731305,19.753349077229334,0.1964722763108321,33.58224782914148,0.20565864431601075
0.708333,41.201851857855274,0.21347724595131076,19.576550926138207,0.19731877971881612,33.28535645704444,0.20639952626322425
0.716667,41.477709731742834,0.21399210092092988,19.446398001755714,0.1987496524860266,32.9768916619347,0.20796030799205423
0.725,41.61231106219308,0.21422013534200843,19.19527418992757,0.19981269028365656,32.68918296987365,0.20833244084580502
0.733333,41.54943202239831,0.2144491497724941,18.75442751976142,0.20052554642056514,32.26737326755431,0.20870350545434568
0.741667,41.66532544696014,0.2147854232612688,18.46835395789238,0.2013903356490981,32.094977139841475,0.21084299803494888
0.75,41.70020052292506,0.21559780262782186,17.98846005869907,0.20315612420050735,31.671905501649746,0.21341459119948275
0.758333,41.68213274913314,0.21701068796867357,17.183238812668247,0.20438718420711044,31.161762161784548,0.2143348876645136
0.766667,41.48649177171896,0.2182213897069549,16.206690476568593,0.20539642745572487,30.49256494539101,0.21505932266742012
0.775,41.53763052806223,0.21901727186065698,15.470614092344409,0.20577534641192438,29.922229779719235,0.21603016005682915
0.783333,41.5413991617997,0.21958012863931908,14.644781823705811,0.2061819022733892,29.15331350092954,0.21623114566176238
0.791667,41.37004051410949,0.22054662697200555,13.685138292258273,0.20713354128228034,28.233022334782337,0.21646226084434889
0.8,41.02508896712576,0.22175051619801356,12.667215872665059,0.20746627219145095,27.28794354311797,0.2170806303384095
0.808333,40.666155204183255,0.22227930798596388,11.599684091390552,0.20770261629742345,26.337222961908402,0.21741376295718695
0.816667,40.49136483371191,0.22247639011775946,10.728065159785078,0.20818700218577182,25.55300525142476,0.21782789114728068
0.825,40.122173972480496,0.22265872388920305,9.609089109421166,0.20865091728997762,24.698097252902443,0.22104447333623498
0.833333,39.679087993801645,0.22304760336672916,8.265609522489722,0.20904870821709784,23.374965556357015,0.22163936581564847
0.841667,38.99348423045849,0.2234226234582968,6.754745718761905,0.20932406072701587,21.783781794573624,0.2218646875489203
0.85,38.34557402821044,0.22403527616208943,5.347130529586694,0.2098374442661756,20.17284724431798,0.22223191912479676
0.858333,37.50017529224591,0.22772043603143488,3.96665591736883,0.21083961725342665,18.638002736313588,0.2225431469707849
0.866667,36.47338474385238,0.22827466609126973,2.382262135974372,0.21296021332151904,16.83497981446542,0.22287923860499037
0.875,35.50224594210102,0.2287314249079059,0.7411441351312262,0.21614778884075783,14.898309621580626,0.2294681326000349
0.883333,34.47600186824205,0.2290798137361882,-1.1429343428449072,0.21720599943289315,12.926196667174501,0.23104837297435923
0.891667,33.36462551643698,0.2294622105087862,-3.154154259426268,0.2181293921437184,10.837133309103221,0.2324478523590928
0.9,32.24702930305733,0.2305253871819259,-5.107990826366438,0.21994675760400975,8.665745596506852,0.23348049007928875
0.908333,31.104380231533046,0.23241466474729694,-7.043561384785236,0.2213425347369553,6.390298685981369,0.2342180204715114
0.916667,29.599210008568853,0.23409361171931525,-9.218229902330227,0.22233114443549534,3.8348970383315173,0.2352248903249636
0.925,27.932973110713263,0.23465176214139943,-11.51690123212679,0.22452151033284562,1.1914750534920433,0.2404514077098535
0.933333,26.20083579822607,0.23543824876227082,-13.776923382441847,0.2256504765941572,-1.4495571998861152,0.24334284887548374
0.941667,24.26283294938574,0.2374493096472816,-16.064383614922278,0.22683770676794293,-4.412281190235451,0.24405048569319487
0.95,22.240012387327994,0.23822805870138752,-18.565040955608815,0.22769530204139235,-7.634765568211199,0.24469413439812307
0.958333,20.285615097439788,0.23889902272562313,-21.25497111324254,0.22825969665063672,-10.837665260254376,0.25654283986399196
0.966667,18.267389041535434,0.24018553827344113,-24.3089462102053,0.2299770246928469,-13.87754753817999,0.26056801332959545
0.975,16.11409025862316,0.2411492136493535,-27.680759436105408,0.23478069354413098,-16.928468603049428,0.26431469490443854
0.983333,13.80323474786357,0.24288749871548573,-31.200673756552874,0.23682926358615053,-20.37014193042158,0.2689659854767089
0.991667,11.33002528420259,0.27113416196146745,-35.04610970746816,0.2387598216757136,-24.18894992561573,0.2751745223418142
1.0,9.0576616370433,0.27353897210984013,-38.963687292376456,0.24038212529847866,-28.007292788747304,0.28024257090510185
