Frame         Time          Elec          VdW           Nonbond       Total         
272           272000        -1.7857       -0.0452       -1.8309       -1.8309       
273           273000        -4.0776       -0.0601       -4.1377       -4.1377       
274           274000        -2.2619       -0.0386       -2.3005       -2.3005       
275           275000        -2.5837       -0.0603       -2.644        -2.644        
276           276000        -3.2001       -0.0513       -3.2514       -3.2514       
277           277000        -2.3816       -0.0374       -2.419        -2.419        
278           278000        -3.0105       -0.0478       -3.0583       -3.0583       
279           279000        -2.4374       -0.0421       -2.4795       -2.4795       
280           280000        -2.8627       -0.0482       -2.9109       -2.9109       
281           281000        -4.1993       -0.057        -4.2563       -4.2563       
282           282000        -4.152        -0.0565       -4.2085       -4.2085       
283           283000        -5.2962       -0.0679       -5.3641       -5.3641       
284           284000        -3.3157       -0.049        -3.3647       -3.3647       
285           285000        -4.3781       -0.0576       -4.4357       -4.4357       
286           286000        -3.4411       -0.0571       -3.4982       -3.4982       
287           287000        -2.6558       -0.04         -2.6958       -2.6958       
288           288000        -2.6034       -0.0428       -2.6462       -2.6462       
289           289000        -3.2546       -0.057        -3.3116       -3.3116       
290           290000        -2.9757       -0.0445       -3.0202       -3.0202       
291           291000        -2.0159       -0.0621       -2.078        -2.078        
292           292000        -3.0754       -0.0341       -3.1095       -3.1095       
293           293000        -2.8866       -0.0907       -2.9773       -2.9773       
294           294000        -2.3185       -0.0627       -2.3812       -2.3812       
295           295000        -2.5517       -0.0422       -2.5939       -2.5939       
296           296000        -2.0058       -0.0443       -2.0501       -2.0501       
297           297000        -2.5577       -0.0338       -2.5915       -2.5915       
298           298000        -0.7467       -0.0469       -0.7936       -0.7936       
299           299000        -1.8843       -0.04         -1.9243       -1.9243       
300           300000        -2.4736       -0.0746       -2.5482       -2.5482       
301           301000        -1.9374       -0.0653       -2.0027       -2.0027       
302           302000        -1.17         -0.0777       -1.2477       -1.2477       
303           303000        -0.946        -0.0992       -1.0452       -1.0452       
304           304000        -0.9219       -0.097        -1.0189       -1.0189       
305           305000        -1.7927       -0.0555       -1.8482       -1.8482       
306           306000        -0.3151       -0.0673       -0.3824       -0.3824       
307           307000        -0.3385       -0.059        -0.3975       -0.3975       
308           308000        -1.1743       -0.0531       -1.2274       -1.2274       
309           309000        -2.8002       -0.0507       -2.8509       -2.8509       
310           310000        -1.3988       -0.0938       -1.4926       -1.4926       
311           311000        -2.5045       -0.0796       -2.5841       -2.5841       
312           312000        -3.3859       -0.0409       -3.4268       -3.4268       
313           313000        -2.4144       -0.052        -2.4664       -2.4664       
314           314000        -3.1729       -0.0427       -3.2156       -3.2156       
315           315000        -4.0047       -0.0551       -4.0598       -4.0598       
316           316000        -3.571        -0.0552       -3.6262       -3.6262       
317           317000        -3.8947       -0.0548       -3.9495       -3.9495       
318           318000        -1.739        -0.0547       -1.7937       -1.7937       
319           319000        -3.164        -0.0687       -3.2327       -3.2327       
320           320000        -3.5548       -0.0543       -3.6091       -3.6091       
321           321000        -4.9227       -0.0537       -4.9764       -4.9764       
322           322000        -3.7868       -0.0511       -3.8379       -3.8379       
323           323000        -4.7481       -0.0494       -4.7975       -4.7975       
324           324000        -3.9551       -0.05         -4.0051       -4.0051       
325           325000        -3.1132       -0.0554       -3.1686       -3.1686       
326           326000        -4.2765       -0.0659       -4.3424       -4.3424       
327           327000        -4.9767       -0.0517       -5.0284       -5.0284       
328           328000        -4.774        -0.0633       -4.8373       -4.8373       
329           329000        -4.6829       -0.0813       -4.7642       -4.7642       
330           330000        -2.5995       -0.0493       -2.6488       -2.6488       
331           331000        -2.8111       -0.0536       -2.8647       -2.8647       
332           332000        -3.6248       -0.05         -3.6748       -3.6748       
333           333000        -2.542        -0.0545       -2.5965       -2.5965       
334           334000        -3.9449       -0.0466       -3.9915       -3.9915       
335           335000        -4.2436       -0.0449       -4.2885       -4.2885       
336           336000        -3.2167       -0.0489       -3.2656       -3.2656       
337           337000        -3.0105       -0.0437       -3.0542       -3.0542       
338           338000        -1.1957       -0.0324       -1.2281       -1.2281       
339           339000        -1.6694       -0.0405       -1.7099       -1.7099       
340           340000        -2.5815       -0.033        -2.6145       -2.6145       
341           341000        -2.8655       -0.049        -2.9145       -2.9145       
342           342000        -1.176        -0.0503       -1.2263       -1.2263       
343           343000        -3.0733       -0.0529       -3.1262       -3.1262       
344           344000        -3.0141       -0.0384       -3.0525       -3.0525       
345           345000        -3.2563       -0.0368       -3.2931       -3.2931       
346           346000        -2.0565       -0.029        -2.0855       -2.0855       
347           347000        -2.1392       -0.0287       -2.1679       -2.1679       
348           348000        -3.5329       -0.0722       -3.6051       -3.6051       
349           349000        -2.5518       -0.029        -2.5808       -2.5808       
350           350000        -2.5213       -0.0637       -2.585        -2.585        
351           351000        -3.2318       -0.0476       -3.2794       -3.2794       
352           352000        -2.8873       -0.0572       -2.9445       -2.9445       
353           353000        -2.3732       -0.0568       -2.43         -2.43         
354           354000        -1.6734       -0.0492       -1.7226       -1.7226       
355           355000        -3.2526       -0.0763       -3.3289       -3.3289       
356           356000        -3.0763       -0.0523       -3.1286       -3.1286       
357           357000        -2.8348       -0.0635       -2.8983       -2.8983       
358           358000        -2.6191       -0.0549       -2.674        -2.674        
359           359000        -2.747        -0.0344       -2.7814       -2.7814       
360           360000        -3.6536       -0.0476       -3.7012       -3.7012       
361           361000        -2.5743       -0.057        -2.6313       -2.6313       
362           362000        -1.9881       -0.0514       -2.0395       -2.0395       
363           363000        -2.7458       -0.0562       -2.802        -2.802        
364           364000        -2.9017       -0.0444       -2.9461       -2.9461       
365           365000        -3.6225       -0.0386       -3.6611       -3.6611       
366           366000        -2.8044       -0.0452       -2.8496       -2.8496       
367           367000        -3.4367       -0.0644       -3.5011       -3.5011       
368           368000        -4.4211       -0.073        -4.4941       -4.4941       
369           369000        -2.9935       -0.043        -3.0365       -3.0365       
370           370000        -4.0884       -0.044        -4.1324       -4.1324       
371           371000        -4.0293       -0.0323       -4.0616       -4.0616       
372           372000        -4.0051       -0.03         -4.0351       -4.0351       
373           373000        -3.3823       -0.0392       -3.4215       -3.4215       
374           374000        -3.7846       -0.0253       -3.8099       -3.8099       
375           375000        -4.7221       -0.0351       -4.7572       -4.7572       
376           376000        -4.9327       -0.0379       -4.9706       -4.9706       
377           377000        -3.6886       -0.0288       -3.7174       -3.7174       
378           378000        -4.1648       -0.0236       -4.1884       -4.1884       
379           379000        -2.427        -0.0549       -2.4819       -2.4819       
380           380000        -4.2503       -0.0449       -4.2952       -4.2952       
381           381000        -2.7477       -0.0683       -2.816        -2.816        
382           382000        -2.5602       -0.0396       -2.5998       -2.5998       
383           383000        -3.3437       -0.0687       -3.4124       -3.4124       
384           384000        -3.7882       -0.0405       -3.8287       -3.8287       
385           385000        -4.5659       -0.0491       -4.615        -4.615        
386           386000        -4.4011       -0.0356       -4.4367       -4.4367       
387           387000        -3.1124       -0.0442       -3.1566       -3.1566       
388           388000        -4.5525       -0.0458       -4.5983       -4.5983       
389           389000        -3.415        -0.0496       -3.4646       -3.4646       
390           390000        -3.6796       -0.0443       -3.7239       -3.7239       
391           391000        -3.8678       -0.0559       -3.9237       -3.9237       
392           392000        -4.2227       -0.0452       -4.2679       -4.2679       
393           393000        -5.6974       -0.0578       -5.7552       -5.7552       
394           394000        -5.2548       -0.0616       -5.3164       -5.3164       
395           395000        -3.7944       -0.0517       -3.8461       -3.8461       
396           396000        -4.0187       -0.0643       -4.083        -4.083        
397           397000        -3.5469       -0.0468       -3.5937       -3.5937       
398           398000        -4.7517       -0.0632       -4.8149       -4.8149       
399           399000        -4.2962       -0.0558       -4.352        -4.352        
400           400000        -2.7669       -0.0345       -2.8014       -2.8014       
401           401000        -2.5393       -0.0277       -2.567        -2.567        
402           402000        -3.5743       -0.0598       -3.6341       -3.6341       
403           403000        -2.8014       -0.0465       -2.8479       -2.8479       
404           404000        -2.9652       -0.0295       -2.9947       -2.9947       
405           405000        -4.4516       -0.0392       -4.4908       -4.4908       
406           406000        -1.949        -0.0894       -2.0384       -2.0384       
407           407000        -5.7953       -0.0568       -5.8521       -5.8521       
408           408000        -3.6692       -0.0334       -3.7026       -3.7026       
409           409000        -5.0121       -0.0422       -5.0543       -5.0543       
410           410000        -3.5174       -0.0403       -3.5577       -3.5577       
411           411000        -3.1657       -0.0564       -3.2221       -3.2221       
412           412000        -3.5974       -0.0645       -3.6619       -3.6619       
413           413000        -5.0034       -0.0489       -5.0523       -5.0523       
414           414000        -3.3224       -0.0514       -3.3738       -3.3738       
415           415000        -4.0813       -0.0482       -4.1295       -4.1295       
416           416000        -5.0266       -0.0699       -5.0965       -5.0965       
417           417000        -4.3039       -0.0634       -4.3673       -4.3673       
418           418000        -3.9604       -0.0554       -4.0158       -4.0158       
419           419000        -2.8058       -0.0577       -2.8635       -2.8635       
420           420000        -3.4432       -0.0598       -3.503        -3.503        
421           421000        -3.8346       -0.0612       -3.8958       -3.8958       
422           422000        -3.5531       -0.0744       -3.6275       -3.6275       
423           423000        -3.8239       -0.0681       -3.892        -3.892        
424           424000        -3.7122       -0.0817       -3.7939       -3.7939       
425           425000        -3.956        -0.0646       -4.0206       -4.0206       
426           426000        -2.6549       -0.0607       -2.7156       -2.7156       
427           427000        -4.9486       -0.0478       -4.9964       -4.9964       
428           428000        -3.0554       -0.054        -3.1094       -3.1094       
429           429000        -3.6415       -0.0397       -3.6812       -3.6812       
430           430000        -4.3725       -0.0489       -4.4214       -4.4214       
431           431000        -4.2552       -0.0586       -4.3138       -4.3138       
432           432000        -4.9744       -0.06         -5.0344       -5.0344       
433           433000        -4.089        -0.0757       -4.1647       -4.1647       
434           434000        -4.315        -0.0746       -4.3896       -4.3896       
435           435000        -5.0026       -0.0588       -5.0614       -5.0614       
436           436000        -3.9314       -0.0586       -3.99         -3.99         
437           437000        -4.9273       -0.0685       -4.9958       -4.9958       
438           438000        -5.6093       -0.0634       -5.6727       -5.6727       
439           439000        -4.1809       -0.0532       -4.2341       -4.2341       
440           440000        -5.7024       -0.0613       -5.7637       -5.7637       
441           441000        -3.8477       -0.0558       -3.9035       -3.9035       
442           442000        -3.4448       -0.0491       -3.4939       -3.4939       
443           443000        -3.9267       -0.0417       -3.9684       -3.9684       
444           444000        -2.625        -0.0475       -2.6725       -2.6725       
445           445000        -3.3345       -0.0421       -3.3766       -3.3766       
446           446000        -3.8981       -0.0556       -3.9537       -3.9537       
447           447000        -3.9297       -0.06         -3.9897       -3.9897       
448           448000        -3.7105       -0.0546       -3.7651       -3.7651       
449           449000        -4.4254       -0.0557       -4.4811       -4.4811       
450           450000        -5.1896       -0.044        -5.2336       -5.2336       
451           451000        -3.749        -0.0542       -3.8032       -3.8032       
452           452000        -4.8132       -0.0671       -4.8803       -4.8803       
453           453000        -3.621        -0.0545       -3.6755       -3.6755       
454           454000        -3.1829       -0.0567       -3.2396       -3.2396       
455           455000        -4.8404       -0.0747       -4.9151       -4.9151       
456           456000        -3.8986       -0.0654       -3.964        -3.964        
457           457000        -3.9058       -0.0544       -3.9602       -3.9602       
458           458000        -4.5544       -0.0624       -4.6168       -4.6168       
459           459000        -4.1628       -0.0564       -4.2192       -4.2192       
460           460000        -3.3558       -0.0381       -3.3939       -3.3939       
461           461000        -4.7315       -0.0435       -4.775        -4.775        
462           462000        -3.8025       -0.0359       -3.8384       -3.8384       
463           463000        -5.5667       -0.0479       -5.6146       -5.6146       
464           464000        -4.4725       -0.0682       -4.5407       -4.5407       
465           465000        -4.3461       -0.0662       -4.4123       -4.4123       
466           466000        -4.84         -0.0565       -4.8965       -4.8965       
467           467000        -4.1393       -0.0425       -4.1818       -4.1818       
468           468000        -5.6834       -0.0817       -5.7651       -5.7651       
