Frame         Time          Elec          VdW           Nonbond       Total         
375           3750000       -2.2562       -0.0398       -2.296        -2.296        
376           3760000       -4.5074       -0.0658       -4.5732       -4.5732       
377           3770000       -4.8199       -0.0699       -4.8898       -4.8898       
378           3780000       -2.1446       -0.025        -2.1696       -2.1696       
379           3790000       -3.6539       -0.0504       -3.7043       -3.7043       
380           3800000       -1.5549       -0.1144       -1.6693       -1.6693       
381           3810000       -1.0253       -0.1112       -1.1365       -1.1365       
382           3820000       -0.8569       -0.0769       -0.9338       -0.9338       
383           3830000       -0.5124       -0.091        -0.6034       -0.6034       
384           3840000       +0.2356       -0.0677       +0.1679       +0.1679       
385           3850000       +0.3394       -0.0425       +0.2969       +0.2969       
386           3860000       -0.2588       -0.0689       -0.3277       -0.3277       
387           3870000       -0.4214       -0.0437       -0.4651       -0.4651       
388           3880000       -1.2451       -0.0612       -1.3063       -1.3063       
389           3890000       -0.9553       -0.0731       -1.0284       -1.0284       
390           3900000       -0.4846       -0.0655       -0.5501       -0.5501       
391           3910000       +0.4562       -0.0682       +0.388        +0.388        
392           3920000       -0.4178       -0.0469       -0.4647       -0.4647       
393           3930000       -0.7325       -0.069        -0.8015       -0.8015       
394           3940000       -3.4241       -0.1131       -3.5372       -3.5372       
395           3950000       -0.1618       -0.0651       -0.2269       -0.2269       
396           3960000       -0.9585       -0.0638       -1.0223       -1.0223       
397           3970000       -0.2091       -0.0821       -0.2912       -0.2912       
398           3980000       -0.8595       -0.0782       -0.9377       -0.9377       
399           3990000       +0.0137       -0.0785       -0.0648       -0.0648       
400           4000000       -0.4936       -0.0689       -0.5625       -0.5625       
401           4010000       -0.4268       -0.0625       -0.4893       -0.4893       
402           4020000       -0.3391       -0.079        -0.4181       -0.4181       
403           4030000       -0.3874       -0.0746       -0.462        -0.462        
404           4040000       -2.7488       -0.1385       -2.8873       -2.8873       
405           4050000       -0.8297       -0.0843       -0.914        -0.914        
406           4060000       -0.2317       -0.0707       -0.3024       -0.3024       
407           4070000       -0.3648       -0.0759       -0.4407       -0.4407       
408           4080000       -1.5855       -0.0878       -1.6733       -1.6733       
409           4090000       -1.2461       -0.0752       -1.3213       -1.3213       
410           4100000       +0.2921       -0.0705       +0.2216       +0.2216       
411           4110000       -0.6395       -0.0709       -0.7104       -0.7104       
412           4120000       -0.1276       -0.0483       -0.1759       -0.1759       
413           4130000       -0.1673       -0.0483       -0.2156       -0.2156       
414           4140000       -0.417        -0.0629       -0.4799       -0.4799       
415           4150000       +0.2435       -0.0564       +0.1871       +0.1871       
